A,X,1,3,1,1,1,1,1,0,0,0,rest
R,O,1,3,1,1,2,1,1,0,0,0,rest
S,O,1,3,1,1,2,1,1,0,0,0,rest
R,X,1,2,1,1,1,1,1,0,0,0,rest
S,X,1,1,1,1,2,1,1,0,0,0,rest
A,O,1,2,1,1,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
A,O,1,3,1,1,2,1,1,0,0,0,rest
A,O,1,2,1,1,2,1,1,1,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
A,O,1,2,1,1,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
X,I,1,2,1,1,2,1,1,0,0,0,rest
S,O,2,2,1,1,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
X,O,1,2,1,1,2,1,1,0,0,0,rest
R,I,1,3,1,1,2,1,1,1,0,0,rest
S,X,1,3,1,1,2,1,1,0,0,0,rest
X,O,1,2,1,1,2,1,1,0,0,0,rest
X,O,1,2,1,2,2,1,1,0,0,0,rest
S,X,1,2,1,1,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
X,O,2,2,1,2,2,1,1,0,0,0,rest
R,O,1,3,1,1,2,1,1,5,0,0,rest
X,O,1,2,1,2,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
A,I,2,3,1,1,2,1,1,2,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
R,O,1,3,1,1,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
X,O,1,1,1,2,2,1,1,0,0,0,rest
X,O,1,1,1,1,2,1,1,0,0,0,rest
R,I,2,1,1,2,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
R,I,1,3,1,2,2,1,1,0,0,0,rest
X,O,1,2,1,1,2,1,1,0,0,0,rest
R,O,1,3,1,1,2,1,1,0,0,0,rest
A,C,1,3,1,1,2,1,1,3,1,0,rest
A,X,1,2,1,1,1,1,1,1,0,0,rest
X,O,1,2,1,2,2,1,1,1,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
X,O,1,2,1,1,2,1,1,0,0,0,rest
K,I,2,3,1,2,2,1,1,2,0,0,rest
A,I,2,2,1,1,2,1,1,8,0,0,rest
A,I,1,3,1,2,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
R,X,1,2,1,1,2,1,1,0,0,0,rest
R,O,1,2,1,1,2,1,1,0,0,0,rest
A,O,2,3,3,2,2,1,1,2,0,0,rest
S,O,2,3,1,2,2,1,1,5,0,0,rest
R,O,1,3,1,1,2,1,1,0,0,0,rest
S,I,2,3,1,2,2,1,1,0,0,0,rest
R,O,1,3,1,1,2,1,1,0,0,0,rest
A,I,2,3,1,2,2,1,1,0,0,0,rest
A,I,2,3,1,2,2,1,1,4,4,0,rest
S,X,1,3,1,1,1,1,1,0,0,0,rest
A,O,1,3,1,1,2,1,1,1,0,0,rest
R,O,1,3,1,1,2,1,1,1,1,0,rest
S,O,1,3,1,2,2,1,1,0,0,0,rest
X,O,1,2,1,1,2,1,1,0,0,0,rest
A,I,2,2,1,2,2,1,1,0,0,0,rest
A,I,2,3,3,2,2,1,1,6,0,0,rest
S,X,1,1,1,1,1,1,1,0,0,0,rest
S,I,2,3,1,1,2,1,1,0,0,0,rest
S,O,2,3,2,1,2,1,1,1,0,0,rest
R,O,1,3,1,1,2,1,1,0,0,0,rest
S,O,1,3,1,2,2,1,1,0,0,0,rest
S,O,1,3,1,1,2,1,1,0,0,0,rest
S,O,1,2,1,2,2,1,1,0,0,0,rest
K,C,2,3,3,2,2,2,1,6,0,0,rest
R,X,1,3,1,1,1,1,1,0,0,0,rest
A,O,1,2,1,2,2,1,1,2,0,0,rest
S,I,1,3,1,1,2,1,1,1,0,0,rest
S,O,1,2,1,1,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,1,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
S,O,1,2,1,2,2,1,1,1,0,0,rest
A,I,1,3,1,1,2,1,1,0,0,0,rest
S,O,1,2,1,2,2,1,1,0,0,0,rest
K,C,2,3,1,2,2,2,1,0,0,0,F
A,I,1,3,1,2,2,1,1,0,0,0,rest
R,O,1,2,1,1,2,1,1,0,0,0,rest
R,O,1,3,1,1,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,1,0,0,rest
S,O,1,2,1,2,2,1,1,0,0,0,rest
A,X,1,2,1,2,2,1,1,0,0,0,rest
A,O,1,3,1,2,2,1,1,0,0,0,rest
K,C,2,2,1,2,2,1,1,4,0,0,F
S,I,2,2,1,2,2,1,1,0,0,0,rest
X,O,1,2,1,1,2,1,1,0,0,0,rest
R,O,1,3,1,1,2,1,1,0,0,0,rest
X,O,1,3,1,1,2,1,1,1,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
S,O,1,2,1,1,2,1,1,3,0,0,rest
R,X,1,2,1,2,2,1,1,0,0,0,rest
A,X,1,2,1,2,2,1,1,0,0,0,rest
S,O,1,2,1,2,2,1,1,0,0,0,rest
A,I,1,2,1,2,2,2,1,1,0,0,F
S,O,1,2,1,2,2,1,1,1,0,0,rest
R,O,1,2,1,1,2,1,1,0,0,0,rest
A,C,2,3,1,1,2,1,1,2,0,0,rest
X,O,1,1,1,1,2,1,1,0,0,0,rest
A,I,2,3,1,1,2,1,1,2,0,0,rest
A,X,1,2,1,2,2,1,1,0,0,0,rest
S,O,1,3,1,2,2,1,1,1,0,0,rest
A,C,2,3,1,2,2,2,1,2,0,0,F
S,O,1,2,1,2,2,1,1,0,0,0,rest
A,I,2,3,1,2,2,1,1,3,0,0,rest
X,O,1,3,1,1,2,1,1,0,0,0,rest
A,I,2,3,1,2,2,1,1,0,0,0,rest
S,O,2,3,1,2,2,1,1,0,0,0,rest
A,I,2,2,1,2,2,1,1,2,0,0,F
S,X,1,1,1,2,2,1,1,1,0,0,rest
A,I,2,2,1,2,2,1,1,0,0,0,rest
X,O,1,2,1,1,2,1,1,0,0,0,rest
S,I,2,2,1,2,2,1,1,0,0,0,rest
S,X,1,2,1,1,1,1,1,0,0,0,rest
A,C,2,2,1,2,2,1,1,1,0,0,F
S,X,1,2,1,2,2,1,1,0,0,0,rest
